daily_vaccinations,daily_vaccinations_per_million,Cluster
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
22369.0,501.0,1
55877.0,1252.0,1
89385.0,2003.0,1
122894.0,2754.0,1
156402.0,3505.0,1
189911.0,4257.0,1
223419.0,5008.0,1
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
256927.0,5759.0,0
255753.0,5732.0,0
254579.0,5706.0,0
253405.0,5680.0,0
252230.0,5653.0,0
251056.0,5627.0,0
249882.0,5601.0,0
248708.0,5574.0,0
248708.0,5574.0,0
213841.0,4793.0,1
178974.0,4011.0,1
144107.0,3230.0,1
109240.0,2448.0,1
74373.0,1667.0,1
39507.0,885.0,1
4640.0,104.0,1
4640.0,104.0,1
4640.0,104.0,1
4640.0,104.0,1
4640.0,104.0,1
4640.0,104.0,1
4640.0,104.0,1
9055.0,203.0,1
13469.0,302.0,1
17884.0,401.0,1
22299.0,500.0,1
26714.0,599.0,1
31129.0,698.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
35543.0,797.0,1
33703.0,755.0,1
31863.0,714.0,1
30022.0,673.0,1
26403.0,592.0,1
22784.0,511.0,1
19165.0,430.0,1
18467.0,414.0,1
19609.0,439.0,1
20751.0,465.0,1
18581.0,416.0,1
18189.0,408.0,1
17796.0,399.0,1
17404.0,390.0,1
14091.0,316.0,1
10779.0,242.0,1
8134.0,182.0,1
8801.0,197.0,1
9469.0,212.0,1
10137.0,227.0,1
10805.0,242.0,1
21027.0,471.0,1
31249.0,700.0,1
40803.0,915.0,1
50357.0,1129.0,1
59911.0,1343.0,1
69466.0,1557.0,1
79020.0,1771.0,1
79020.0,1771.0,1
71092.0,1593.0,1
61916.0,1388.0,1
52741.0,1182.0,1
43565.0,976.0,1
34739.0,779.0,1
25914.0,581.0,1
17088.0,383.0,1
16190.0,363.0,1
35110.0,787.0,1
34469.0,773.0,1
33828.0,758.0,1
32838.0,736.0,1
31847.0,714.0,1
30856.0,692.0,1
29865.0,669.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
10305.0,231.0,1
11037.0,247.0,1
11770.0,264.0,1
12503.0,280.0,1
13235.0,297.0,1
13968.0,313.0,1
14700.0,329.0,1
15433.0,346.0,1
16455.0,369.0,1
17478.0,392.0,1
18500.0,415.0,1
19522.0,438.0,1
20544.0,460.0,1
21567.0,483.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
22589.0,506.0,1
21679.0,486.0,1
20770.0,466.0,1
19860.0,445.0,1
18951.0,425.0,1
18041.0,404.0,1
17131.0,384.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
16222.0,364.0,1
15934.0,357.0,1
15646.0,351.0,1
15358.0,344.0,1
15070.0,338.0,1
14783.0,331.0,1
14495.0,325.0,1
14207.0,318.0,1
14207.0,318.0,1
14207.0,318.0,1
14207.0,318.0,1
14207.0,318.0,1
14207.0,318.0,1
12793.0,287.0,1
11378.0,255.0,1
9964.0,223.0,1
8550.0,192.0,1
7135.0,160.0,1
5721.0,128.0,1
4307.0,97.0,1
4307.0,97.0,1
4307.0,97.0,1
4307.0,97.0,1
4307.0,97.0,1
4307.0,97.0,1
4307.0,97.0,1
